name;index;type;type_index;speed_mf;cores;ram_gib;disk_tib;disk_read_bw_mbps;disk_write_bw_mbps;in_cluster
Tier1;1;cluster;0;0;0;0;0;0;0;0
Tier10;2;worker;1;2555;16;256;0;0;0;1
Tier11;3;worker;1;2555;16;256;0;0;0;1
Tier12;4;worker;1;2555;16;256;0;0;0;1
Tier13;5;worker;1;2555;16;256;0;0;0;1
Tier14;6;worker;1;2555;16;256;0;0;0;1
Tier15;7;worker;1;2555;16;256;0;0;0;1
Tier16;8;worker;1;2555;16;256;0;0;0;1
Tier17;9;worker;1;2555;16;256;0;0;0;1
Tier18;10;worker;1;2555;16;256;0;0;0;1
Tier19;11;worker;1;2555;16;256;0;0;0;1
Tier2;12;worker;1;2209;200;500;0;0;0;0
GridKA_dCache;13;cache;5;1000000;6;0;7000;920;920;0
WMSHost;14;scheduler;3;10000;6;8;0;0;0;0
GridKAgateway;15;router;4;0;0;0;0;0;0;0
KITgateway;16;router;4;0;0;0;0;0;0;0
DESY_dCache;17;storage;2;1000000;10;0;7000;920;920;0
DESYGridgateway;18;router;4;0;0;0;0;0;0;0
DESYgateway;19;router;4;0;0;0;0;0;0;0
