link_name;link_index;src_node_name;src_node_index;dst_name;dst_node_index;bandwidth_mbps;latency_us;is_fatpipe
GridKA_sched;1;GridKAgateway;12;WMSHost;11;195;0;0
GridKA_Tier1_FATPIPE;2;GridKAgateway;12;Tier1;1;2000;0;1
GridKA_Tier1;3;GridKAgateway;12;Tier1;1;4600;0;0
GridKA_dcachepool_FATPIPE;4;GridKAgateway;12;GridKA_dCache;10;800;0;1
GridKA_dcachepool;5;GridKAgateway;12;GridKA_dCache;10;1500;0;0
GridKA_to_KIT;6;GridKAgateway;12;KITgateway;13;2000;0;0
KIT_to_DESY;7;KITgateway;13;DESYgateway;16;230;0;0
DESY_Tier21;8;DESYGridgateway;15;Tier21;7;1000;1;0
DESY_Tier22;9;DESYGridgateway;15;Tier22;8;1100;2;0
DESY_Tier23;10;DESYGridgateway;15;Tier23;9;900;3;0
DESY_dCachepool;11;DESYGridgateway;15;DESY_dCache;14;900;0;0
DESYGrid_to_DESY;12;DESYGridgateway;15;DESYgateway;16;1900;0;0
